154,100
155,98
154,98
152,97
152,96
148,93
145,91
142,90
133,89
129,89
120,92
116,94
112,96
109,98
105,102
102,103
100,105
98,106
98,109
97,110
97,112
97,115
97,117
98,120
100,124
103,126
109,132
113,135
118,138
122,141
128,144
134,148
138,152
144,156
149,160
153,164
157,172
160,176
162,186
162,195
162,199
162,202
162,204
160,206
160,207
159,208
158,209
156,211
154,211
153,212
150,212
147,213
143,214
140,214
136,214
131,214
127,214
122,213
116,212
112,210
107,208
103,206
96,203
94,201
92,199
92,199
