92,117
94,117
96,117
100,118
106,118
110,118
116,118
123,118
130,117
136,116
140,115
143,115
145,114
148,112
149,111
150,107
151,105
152,103
153,100
153,97
153,96
153,94
151,92
150,90
147,88
145,87
143,85
141,83
138,82
134,81
131,81
128,81
125,81
122,82
118,83
114,86
110,87
101,89
99,91
92,96
91,98
88,104
88,106
88,109
87,111
87,113
87,115
87,117
87,119
87,122
87,126
89,131
91,137
94,141
101,150
112,159
118,162
124,165
131,167
138,169
144,170
151,170
159,170
164,170
169,170
174,170
176,170
176,169
176,168
175,168
175,169
