80,210
81,210
81,210
83,209
83,209
84,207
87,206
91,201
94,199
99,191
103,186
106,182
108,179
112,175
115,171
117,167
124,156
128,149
135,137
138,133
140,128
142,123
144,120
149,111
152,102
154,94
157,87
161,75
162,71
163,67
163,64
163,62
163,59
163,57
164,56
164,54
164,53
164,52
163,51
163,51
162,50
161,50
160,50
159,49
159,49
157,49
156,49
155,49
153,49
152,50
151,51
149,52
148,53
146,55
145,57
143,59
141,62
139,65
135,70
134,74
131,77
129,82
128,86
127,92
126,99
125,110
124,117
124,122
124,129
124,134
124,144
124,147
124,149
124,151
124,155
124,158
124,160
124,163
125,167
127,175
128,177
129,179
130,181
130,182
132,184
133,186
134,187
135,189
137,191
138,191
140,193
141,194
142,194
143,194
143,194
144,194
145,195
146,195
147,195
149,195
150,195
151,195
152,195
154,195
154,195
155,195
155,195
156,195
156,196
158,196
158,196
159,196
159,196
160,196
160,196
161,196
162,196
161,196
