152,93
139,82
135,79
129,77
123,75
118,75
111,75
106,75
100,75
97,77
92,80
89,82
86,86
84,89
81,93
79,96
78,100
78,109
78,118
81,127
82,134
83,140
85,145
87,148
88,150
90,151
92,151
94,151
96,151
98,151
101,151
104,150
113,144
118,140
123,137
128,130
139,116
144,107
148,100
151,94
152,91
152,89
153,86
153,85
153,85
153,84
153,83
154,83
154,82
154,82
154,83
154,84
153,85
153,88
153,96
153,100
153,104
153,108
153,111
153,113
154,116
155,120
156,122
157,124
159,128
161,132
162,134
164,135
166,138
167,138
170,138
172,138
174,138
175,138
175,138
175,136
175,137
